SegmentId,StartTime,EndTime,Transcript,,,,,,,
,,,pretty much every page,,,,,,,
,,,is a page number .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg42,3.57,4.02,This of course is very useful if you sit,,,,,,,
,,,in a meeting and just a colleague want,,,,,,,
,,,to refer to a specific page .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg43,4.03,4.1,Then to be able to say okay,,,,,,,
,,,this is a page 18 and then everybody know,,,,,,,
,,,what page 18 exactly is,,,,,,,
,,,because there is a page number included on the document .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg44,4.13,4.13,Then of course is very important .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg45,4.15,4.15,Next thing you should look at is the source .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg46,4.17,4.19,So here you can include a source,,,,,,,
,,,such a Firm Learning .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg47,4.21,4.27,Of course you can even then include just your name,,,,,,,
,,,or your department a a source,,,,,,,
,,,but even better would be especially if you refer to a,,,,,,,
,,,specific data then also give the source of the data .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg48,4.31,4.39,So what date are you using ?,Information,BodyComponent,StructureComponent,,Structure,,
,,,Where is the data coming from ?,,,,,,,
,,,When wa the date collected ?,,,,,,,
,,,Some specific information on what data you 're using,,,,,,,
,,,is what you can likely include here in the source .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg49,4.41,4.41,The next element that you can use are footnote .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg50,4.43,4.46,So footnote one two three this is just a part where,,,,,,,
,,,you can give specific detail on certain thing .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg51,4.48,4.51,But maybe just not fit in the,Text,VisualAidArtefact,,,VisualAid,,
,,,regular text on your page .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg52,4.53,4.58,Then you would just include it in the footnote,Font,EmphasisedText,Text,VisualAidArtefact,VisualAid,,
,,,to give you some extra space,,,,,,,
,,,because it 's often a smaller font size,,,,,,,
,,,than the main page .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg53,5,5,Just to show additional remark .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg54,5.01,5.04,And of course,Title,Text,VisualAidArtefact,,VisualAid,,
,,,one of the most important element,,,,,,,
,,,of every page is the action title .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg55,5.06,5.06,The action title is the title of the page .,Title,Text,VisualAidArtefact,,VisualAid,,
,,,,,,,,,,
PgOD1j2DhNg56,5.09,5.09,And creating a good action title is an art form itself .,Title,Text,VisualAidArtefact,,VisualAid,,
,,,,,,,,,,
PgOD1j2DhNg57,5.14,5.2,Now I will not go into much of detail,Video,Film,MovingImage,Illustration,VisualAid,,
,,,in this video what a good action title look like,Title,Text,VisualAidArtefact,,VisualAid,,
,,,because I already created a specific video,Video,Film,MovingImage,Illustration,VisualAid,,
,,,only focusing on action title .,Title,Text,VisualAidArtefact,,VisualAid,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg58,5.22,5.25,The video even includes an exercise how you can,Video,Film,MovingImage,Illustration,VisualAid,,
,,,improve your action title creation skill .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg59,5.28,5.29,If you 're interested in that,,,,,,,
,,,have a look .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg60,5.31,5.34,I will include a link to the video above,Video,Film,MovingImage,Illustration,VisualAid,,
,,,so that you can directly look into it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg61,5.35,5.35,So far so good .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg62,5.36,5.39,So this wa some just really bare basic,,,,,,,
,,,that should be included in every page .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg63,5.4,5.4,Let 's jump into something else .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg64,5.41,5.41,And this is the creation of chart .,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,,,,,,,
PgOD1j2DhNg65,5.44,5.49,So what you will see in consulting,Slide,VisualAidArtefact,,,VisualAid,,
,,,is that almost every slide that you use,,,,,,,
,,,contains a chart .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg66,5.5,5.5,So some kind of diagram where you depict data .,Diagram,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,,,,,,,
PgOD1j2DhNg67,5.53,5.55,The reason is that in consulting,Reason,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,very frequently your argumentation will be based on data .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg68,5.59,6.02,You can just expect from you,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,that you will back up your finding,,,,,,,
,,,and your recommendation with some date analysis .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg69,6.05,6.1,And if you do these kind of data analysis,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,of course you will frequently use chart to then,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,show the result of your analysis .,Result,BodyComponent,StructureComponent,,Structure,,
,,,,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg70,6.12,6.14,And these are just the chart that you can create,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,with the think expansion .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg71,6.16,6.19,If you do not know think,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,it 's a plugin that very frequently is used,,,,,,,
,,,by consulting firm to create the chart .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg72,6.22,6.22,So almost every consulting firm us it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg73,6.24,6.28,Of course if you do not have it,PowerPoint,Slide,VisualAidArtefact,,VisualAid,,
,,,you can just also work with the regular,,,,,,,
,,,PowerPoint built chart .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg74,6.29,6.32,If you have the opportunity to use think,,,,,,,
,,,I can highly recommend it,,,,,,,
,,,because it really improves your workflow .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg75,6.34,6.37,If you now go over this chart tile,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,many of them you will already know,,,,,,,
,,,and probably frequently use yourself .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg76,6.39,6.42,Such a stacked bar chart or the 100 % bar chart,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,clustered bar chart and so on .,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg77,6.44,6.46,Right now I 'd just like to put your attention to,Attention,,,,PresentationAttribute,,
,,,the waterfall chart type .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg78,6.48,6.52,So the waterfall chart type is a chart type,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,that in consulting,,,,,,,
,,,especially at McKinsey you will use all of the time .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg79,6.54,6.56,So there 's almost no presentation,,,,,,,
,,,without a waterfall present .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg80,6.58,6.58,But outside of consulting I really rarely see it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg81,7.01,7.01,Just from my observation .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg82,7.03,7.08,The fact alone that a presentation includes a,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,waterfall chart very often is a clear telltale sign,,,,,,,
,,,that a MBB consulting firm worked on it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg83,7.11,7.18,And actually most of the case it ha been McKinsey,Reason,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,because for whatever reason,,,,,,,
,,,waterfall chart are just so commonly used,,,,,,,
,,,by McKinsey consultant .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg84,7.19,7.19,So let 's look at an example .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg85,7.2,7.22,So this is just a basic example,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,of what a waterfall chart look like .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg86,7.24,7.3,And I 'd just like to use this example to show to you,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,what I believe the waterfall chart can just be so,,,,,,,
,,,helpful in so many business presentation .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg87,7.33,7.37,So this of course is just a stylist chart,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,an illustrative chart so let 's not,,,,,,,
,,,care about the specific number .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg88,7.38,7.38,But this is now a bridge chart .,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,,,,,,,
PgOD1j2DhNg89,7.41,7.43,Actually many people instead of using waterfall,,,,,,,
,,,they also just call them bridge .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg90,7.45,7.45,So bridge chart .,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,,,,,,,,
PgOD1j2DhNg91,7.46,7.47,Because waterfall chart are very helpful,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,to show a bridge .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg92,7.49,7.49,To show how one number relates to another number .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg93,7.52,7.54,One way that this is frequently used,Figure,Illustration,VisualAidArtefact,,VisualAid,,
,,,is to show bridge between financial figure .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg94,7.56,7.56,So here we compare the EBITDA .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg95,7.58,8.01,So the earnings before interest text depreciation,Interest,Impact,,,PresentationAttribute,,
,,,amortization of 2019 . To the EBITDA in 2020,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg96,8.01,8.04,and we like to understand the difference .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg97,8.07,8.08,And if you just look at the number,,,,,,,
,,,here it ha been 1.59 and here it ha been 1.67 .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg98,8.12,8.15,So at first glance it could look like the number,,,,,,,
,,,are pretty similar .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg99,8.16,8.2,So you could infer,,,,,,,
,,,that actually the company ha been quite stable,,,,,,,
,,,there were many thing that actually changed .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg100,8.22,8.29,If you do n't break down the difference of these,,,,,,,
,,,two number into all the effect,,,,,,,
,,,that actually changed,,,,,,,
,,,from 2019,,,,,,,
,,,to 2020 .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg101,8.31,8.32,You 'd see that there are quite,,,,,,,
,,,some thing going on .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg102,8.34,8.41,So here wa one effect that if you use,,,,,,,
,,,the EBITDA by 700,,,,,,,
,,,but then this is compensated by another effect,,,,,,,
,,,that increased it by 730 .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg103,8.42,8.44,And there 's another positive effect,,,,,,,
,,,further increasing it by 450 .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg104,8.46,8.48,And a reduction by 650,,,,,,,
,,,and then another increase in 250 .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg105,8.5,8.57,So what you can see is that the waterfall chart,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,really enables you to breakdown,,,,,,,
,,,something into the different sub component,,,,,,,
,,,that were driving it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg106,8.58,9,And then enable it to make change visible,,,,,,,
,,,that were just not visible .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg107,9.03,9.05,Just looking at the total difference,,,,,,,
,,,between two number .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg108,9.06,9.06,Let 's now look into another,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,very ambiguous chart element .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg109,9.09,9.09,This is a so callout .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg110,9.12,9.12,This is this element right here .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg111,9.14,9.16,So this is an element that you can just,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,include in a chart .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg112,9.18,9.18,Gives detail about this specific element .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg113,9.21,9.25,So a I wrote here it can include remark,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,on specific element of a chart or other relevant,,,,,,,
,,,contribution that you wan na make .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg114,9.27,9.31,A callout is something that you can easily use,Information,BodyComponent,StructureComponent,,Structure,,
,,,just add detail,,,,,,,
,,,add information,,,,,,,
,,,add context to one specific element .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg115,9.33,9.33,This is a frequent way how you can do it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg116,9.36,9.38,So this element just consists of one line,,,,,,,
,,,and then another line with a special ending .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg117,9.4,9.4,So if you ha never created this yourself .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg118,9.42,9.49,I just broke down here the element here,,,,,,,
,,,you see the line and that this is just,,,,,,,
,,,another line then it 's you can know in the line setting,,,,,,,
,,,you can just add also such an endpoint to it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg119,9.51,9.51,Then if you combine it this is what it look like .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg120,9.54,9.55,So this is just an easy way to create,,,,,,,
,,,this kind of callout element .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg121,9.57,10.01,And believe it or not but callouts like this,,,,,,,
,,,will be used in pretty much every single,,,,,,,
,,,consulting presentation that you see .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg122,10.03,10.05,Another element that might have catched your,Attention,,,,PresentationAttribute,,
,,,attention is something that is called a sticker .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg123,10.07,10.07,And this is what you see here in the top right .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg124,10.09,10.12,So a sticker is a qualification of the,,,,,,,
,,,page that you use .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg125,10.13,10.13,Here you see the preliminary sticker .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg126,10.15,10.18,So let 's now just go over some example of sticker,,,,,,,
,,,that are frequently and commonly used .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg127,10.2,10.22,Then what the context is how you use them,Context,OpeningComponent,StructureComponent,,Structure,,
,,,in the consulting context .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg128,10.24,10.28,So for discussion sticker,Discussion,ClosingComponent,StructureComponent,,Structure,,
,,,the preliminary sticker,,,,,,,
,,,highly preliminary indicative,,,,,,,
,,,and then illustrative .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg129,10.31,10.33,So these are probably the five,,,,,,,
,,,most commonly used sticker .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg130,10.35,10.35,Of course you could write other thing a well .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg131,10.37,10.39,And sticker are element that are,,,,,,,
,,,pretty much used to protect yourself .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg132,10.41,10.5,So why could this be important ?,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,Why would you need to protect yourself ?,,,,,,,
,,,So let 's imagine you make an analysis,,,,,,,
,,,which might be a bit controversial,,,,,,,
,,,you know that their resides,,,,,,,
,,,will not please everybody .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg133,10.52,11.01,And what you can do is,Discussion,ClosingComponent,StructureComponent,,Structure,,
,,,to include such a for discussion sticker,Walk,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,then if you walk into a meeting,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,then you realize that your analysis spark,Discussion,ClosingComponent,StructureComponent,,Structure,,
,,,some discussion and then yet you can say,Result,BodyComponent,StructureComponent,,Structure,,
,,,well  Yes of course this is not the final result . '',,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg134,11.01,11.04, This is just for discussion . '',Discussion,ClosingComponent,StructureComponent,,Structure,,
,,,,,,,,,,
PgOD1j2DhNg135,11.04,11.06,As you also wrote here .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg136,11.07,11.07, So let 's just have a discussion about it . '',Discussion,ClosingComponent,StructureComponent,,Structure,,
,,,,,,,,,,
PgOD1j2DhNg137,11.07,11.08, I 'm interested to hear your opinion . '',,,,,,,
,,,,,,,,,,
PgOD1j2DhNg138,11.08,11.15, What is your view of it ? '',Discussion,ClosingComponent,StructureComponent,,Structure,,
,,, Why do you believe this is true ? '',,,,,,,
,,, What is your opinion ? '',,,,,,,
,,,So this is how you frequently use,,,,,,,
,,,such a for discussion sticker .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg139,11.17,11.25,Preliminary and highly preliminary,Result,BodyComponent,StructureComponent,,Structure,,
,,,this is just something to make clear,,,,,,,
,,,that the result that you 're showing,,,,,,,
,,,the analysis that you are doing,,,,,,,
,,,are not the final one .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg140,11.27,11.32,And here again this just is a way to protect yourself,,,,,,,
,,,that then if later it come out that,,,,,,,
,,,maybe your were missing some data .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg141,11.34,11.35,That there additional information that you,Information,BodyComponent,StructureComponent,,Structure,,
,,,would need to take into consideration .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg142,11.37,11.4,You can just say  Yes of course this analysis that '',Analysis,BodyComponent,StructureComponent,,Structure,,
,,, we did here wa only preliminary . '',,,,,,,
,,,,,,,,,,
PgOD1j2DhNg143,11.4,11.43, This wa not the final version . '',,,,,,,
,,,,,,,,,,
PgOD1j2DhNg144,11.43,11.58,This is also again to protect yourself,Engagement,Interactivity,,,PresentationAttribute,,
,,,because otherwise it could happen,,,,,,,
,,,and these thing happen right ?,,,,,,,
,,,That there is a hostile client,,,,,,,
,,,that then just point out a page that you created,,,,,,,
,,,maybe in the first week of your engagement,,,,,,,
,,,that you were just learning,,,,,,,
,,,trying to understand the data .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg145,12,12.05,And the page you labeled you just did wa complete BS,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,because this analysis that you created,,,,,,,
,,,wa just obviously not correct .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg146,12.07,12.1,Right ?,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,And maybe he wa right maybe it just wa n't correct,,,,,,,
,,,because you did n't have the full picture .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg147,12.12,12.18,But then you can say  Yes Mister this is true you are '',Analysis,BodyComponent,StructureComponent,,Structure,,
,,, right but a you can also read here this wa not a final '',,,,,,,
,,, version of the analysis . '',,,,,,,
,,,,,,,,,,
PgOD1j2DhNg148,12.18,12.19, This wa just a preliminary version . '',,,,,,,
,,,,,,,,,,
PgOD1j2DhNg149,12.19,12.21,And incident like that happen .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg150,12.23,12.23,And this is why you put the preliminary sticker on it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg151,12.25,12.27,That 's similar but different is the indicative sticker,,,,,,,
,,,and also the illustrative sticker .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg152,12.29,12.35,So an indicative sticker you can use just to make,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,it clear that a certain analysis that you make,,,,,,,
,,,maybe ha some flaw,,,,,,,
,,,maybe ha some drawback .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg153,12.37,12.38,So the number that you show,,,,,,,
,,,should not be taken that serious .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg154,12.41,12.53,But it give a good direction,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,so that you believe that the analysis,Result,BodyComponent,StructureComponent,,Structure,,
,,,the result that you show are at least are,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,indicatively right,,,,,,,
,,,and these show the right direction,,,,,,,
,,,the right picture,,,,,,,
,,,even thought the specific number that you use,,,,,,,
,,,might not be accurate .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg155,12.54,12.54,And this of course can happen in any situation .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg156,12.56,13,You need to work with the incomplete data set,Information,BodyComponent,StructureComponent,,Structure,,
,,,where you 're lacking certain information,,,,,,,
,,,that you just were not able to use .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg157,13.02,13.04,Then you might want to make it clear that the,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,analysis that you 're showing is just indicative .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg158,13.06,13.06,Illustrative go kind of even further than indicative .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg159,13.1,13.2,And it 's sometimes also used a bit in a dirty way,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,in the sense that you can show a whole chart of very,Information,BodyComponent,StructureComponent,,Structure,,
,,,specific information very specific graph,Graph,Diagram,Figure,Illustration,VisualAid,,
,,,then you can put an illustrative sticker on it .,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg160,13.22,13.23,You can make it clear that actually,,,,,,,
,,,the number are not true .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg161,13.25,13.29,That you just made up the whole chart right ?,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,Maybe the whole chart doe n't contain,,,,,,,
,,,any real number at all .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg162,13.32,13.36,But you just wanted to show a certain relationship,Information,BodyComponent,StructureComponent,,Structure,,
,,,how you believe that it is from your experience,,,,,,,
,,,or maybe from other information that you have .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg163,13.38,13.48,So you 're just drawing this chart,Drawing,Diagram,Figure,Illustration,VisualAid,,
,,,which maybe not even contains any real number at all,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,but illustratively this is the chart you believe,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,it look like .,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg164,13.48,13.48,So this is how you put the illustrative sticker on it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg165,13.51,13.56,So if you see the illustrative sticker on a presentation,,,,,,,
,,,pretty frequently you can assume that actually,,,,,,,
,,,the number are not real .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg166,13.57,13.57,The number are not actual number .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg167,13.59,14.01,But this chart pretty much just wa made up,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,by the consultant who used it .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg168,14.03,14.06,So now another element that you can frequently use,,,,,,,
,,,is something that is called a takeaway box .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg169,14.09,14.11,So takeaway box are something,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,like this that you include below your chart .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg170,14.14,14.14,It includes an important overall remark .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg171,14.16,14.21,So while the callout you saw earlier,Information,BodyComponent,StructureComponent,,Structure,,
,,,usually is used for just given information on,,,,,,,
,,,a specific element of the chart .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg172,14.23,14.28,If you ever have genuine information,Information,BodyComponent,StructureComponent,,Structure,,
,,,that is relevant to the whole chart,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,you can just include such a takeaway box,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,below the chart that you are showing .,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg173,14.3,14.38,In the takeaway box you can just include the main insight,Information,BodyComponent,StructureComponent,,Structure,,
,,,the main piece of information,,,,,,,
,,,that you want the reader the viewer the listener,,,,,,,
,,,to takeaway from the chart that you are showing .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg174,14.41,14.44,Another element that you can use that look similar,,,,,,,
,,,but is often used in a slightly different way .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg175,14.45,14.45,It is something that you would call a bubble .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg176,14.48,14.56,So bubble is sometimes also called a sticker,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,and it 's included in a chart in some way like that,,,,,,,
,,,so you purposely make it look like this,,,,,,,
,,,just included in front of something else .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg177,14.59,15.01,It look a bit le informal than for instance,,,,,,,
,,,a takeaway box .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg178,15.02,15.07,And a bubble you often use to include,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,some kind of limitation,,,,,,,
,,,to the analysis that you are showing a,,,,,,,
,,,limitation to the data that you are showing .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg179,15.09,15.15,And a bubble is called a bubble,Text,VisualAidArtefact,,,VisualAid,,
,,,because sometimes instead of a rectangular form,,,,,,,
,,,you can also use a circular form of the text that,,,,,,,
,,,you are showing .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg180,15.16,15.19,So that the text is included in a circle,Text,VisualAidArtefact,,,VisualAid,,
,,,instead of a rectangular form .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg181,15.2,15.24,From the standpoint bubble are so important,,,,,,,
,,,you need to put yourself into the shoe,,,,,,,
,,,of a consultant .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg182,15.25,15.29,Because very frequently you receive certain data set,Information,BodyComponent,StructureComponent,,Structure,,
,,,certain information from your client .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg183,15.31,15.35,And then you take several day,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,or maybe even week to then conduct the analysis,,,,,,,
,,,and then to come up with some kind of a result .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg184,15.37,15.56,Then very often what happens is that then,Result,BodyComponent,StructureComponent,,Structure,,
,,,the last day some anxious hour before,Information,BodyComponent,StructureComponent,,Structure,,
,,,the big presentation,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,where you then want to show the result,,,,,,,
,,,you receive some new information,,,,,,,
,,,maybe you realize that now some new data came out,,,,,,,
,,,maybe now the next month 's finished,,,,,,,
,,,and now you put re all the analysis,,,,,,,
,,,with all the data from the new time period,,,,,,,
,,,from the new month .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg185,15.57,16.14,In these situation you 're very frequently faced with,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,the decision to whether you want to re now,Information,BodyComponent,StructureComponent,,Structure,,
,,,all the analysis,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,to incorporate this new information or whether,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,will you leave all the analysis as ?,,,,,,,
,,,And then just include a bubble on the page,,,,,,,
,,,stating the limitation or stating what ha not,,,,,,,
,,,yet been included in the analysis .,,,,,,,
,,,,,,,,,,
PgOD1j2DhNg186,16.17,16.22,Bubbles are so important because very frequently,Analysis,BodyComponent,StructureComponent,,Structure,,
,,,instead of re the whole thing re analysis,,,,,,,
