Participant's ID,STRUCTURE Pre Test,DELIVERY Pre Test,VISUAL AIDS Pre Test, ATTRIBUTES of presentations Pre Test,Post Test 1,Post Test 2
D30,"Use commas to separate three or more words, phrases, or clauses written in a series.","John went to the grocery store and bought bread, milk, butter, macaroni and cheese.",Use a comma to separate items in a series.,"The student explained her question, yet the instructor still didn't seem to understand.",its very intersting,its very useful
D5,"use commas to separate three or more words, phrases, or clauses written in a series.",Two complete sentences can only be connected with a comma using a coordinating conjunction.,Use a comma to link an incomplete sentence with a complete sentence.,"Use a comma between two coordinate adjectives that describe the same noun.
","The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember.","""Something is happening. We are becoming a visually mediated society. For many, understanding of the world is being accomplished, not through words, but by reading images"""
D10,"Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.","Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.","Use a comma after an introductory phrase or clause. ...
Use commas before and after a parenthetical phrase or clause. ...
Use a comma to separate two independent clauses linked by a coordinating conjunction (and, but, for, nor or, so, yet) ...
Use a comma to separate items in a series.","Whenever you have two complete thoughts (Independent Clauses) joined by a Coordinating Conjunction, you must include a comma. Use a comma between two complete thoughts connected by FANBOYS (For, And, Nor, But, Or, Yet, So). Mary liked her new dress, but she didn't notice that it had a stain on the collar.","The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember","Clearly define your objectives before making a presentation.
Learning and mastering your subject.
Building the plan and thinking about storytelling.
Prepare and rehearse your oral presentation.
Be natural during the presentation."
D39,"Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.
","Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.
","TOO MEANS ALSO. -Use commas to separate “too” from the rest of the sentence when it can be replaced by the word “also.” ...
","Use a comma to separate introductory words, phrases, or clauses from the main sentence: Because she didn't set her alarm, she was late for class. If she is late ...
","PowerPoint.
Whiteboards.
Video clips.
Charts and graphs.
Handouts.
Flip chart.
Props.
Overheads.","The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember.
"
D46,"Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.
","While a period ends a sentence full-stop, a comma is a smaller, softer pause. It can separate words, clauses, or ideas within one sentence.
","Commas are used to separate three or more words, phrases, or clauses in a series. This means that when three or more items are being listed in a sentence, a comma goes between each item in the list. For example: John went to the grocery store and bought bread, milk, butter, macaroni and cheese.
","Use a comma to separate introductory words, phrases, or clauses from the main sentence: Because she didn't set her alarm, she was late for class. If she is late ...
","The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember.
","Visual aids are visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation. When giving a speech or presentation, a speaker communicates information orally.Oct 25, 2021
"
D2,very good strucxturee,very nice delivery system,the visual aids is god,presentation attributes,DELIVERY,STRUCTURE
D8,visual ads,visual ads,preservation skills,presentation attributes,presentation attributes,visual ads
D51,Words of phrases that guide the listener during a presentation. They let the listener know what happened so far and what is going to happen next. Below is a guide for using signposts during a presentation.,Delivery refers to the way which you actually deliver perform or give your presentation,"handouts, overheads",communicating our thoughts and ideas,communicate and idea,communicating and ideas
D40,yes,"Oral delivery, presentation delivery, vocal delivery, speaking, projection, public speaking, declaiming, imparting, conveying, reciting, projecting, performance, addressing, delivering message, staging, address, oratory, storytelling, lecture, instructional delivery, disperse, disseminate, imparting knowledge, performance art, monologue","PowerPoint slides, diagrams, graphs, charts, images, photographs, illustrations, posters, maps, drawings, animations, videos, flip charts, props, models.","Speaking clearly, articulation, good posture, confident, engaging, enthusiastic, eye contact, concise, humorous, passionate, vocal delivery, volume, pause, theatrical, storytelling, animated, dynamic, prepared, polished, energy.",good,"Delivery:
-Speak clearly and audibly
-Vary pitch, volume, and speed of delivery
-Incorporate gestures

Structure:
-Start with an introduction to catch attention and give an overview
-When possible, use stories and anecdotes to illustrate points
-Make sure to set up a logical flow of ideas
-Finish with a summary of main points

Visual Aids:
-Use slides to support ideas, not to read from
-Keep the information on slides brief, concise, and relevant
-Incorporate key visuals and graphics

Presentation Attributes:
-Practice in advance and be prepared
-Be confident and show enthusiasm
-Be interactive and seek audience feedback and participation

Main Concepts:
-Effective presentation delivery
-Organizing ideas for presentations
-Utilizing visual aids in presentations
-Exhibiting presentation attributes

Relationships:
The effective delivery and organization of ideas, as well as the adequate utilization of visual aids and display of presentation attributes, have an impact on how successful a presentation is."
S46,"A structure is something of many parts that is put together. A structure can be a skyscraper, an outhouse, your body, or a sentence","Make eye contact with your audience instead of reading off your notes the entire time. Avoid distracting behaviours, like chewing gum or fidgeting. Watch for nervous gestures, such as rocking, or tapping","A visual aid is any material that gives shape and form to words or thoughts. Types of visual aids include physical samples, models, handouts, pictures, videos, infographics, etc. Visual aids have come a long way to now include digital tools such as overhead projectors",A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information,"There are a number of aspects that you need to consider when preparing a presentation. They include the aim of the presentation, the subject matter, the audience, the venue or place, the time of day","Common technologies used to share visual aids include projectors, presentation applications, and whiteboards"
S43,an introduction detailing the purpose and structure of the talk; a body covering the main points; and a conclusion summarising and highlighting the significance of your talk.,"Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss","pictures, charts, and diagrams",concise and should be focused on the topic,STRUCTURE,"VISUAL AIDS,"
S25,"Beginning, Middle and End, The Hook, Thesis","Confident, Clear, To the point","PowerPoint, Slides, Videos","Successful, Convincing","The videos were mostly about hand gestures and engaging the audience physically while appearing confident. They had to do with avoiding distracting gestures, smiling, practicing regularly, eye contact and keeping your hands in a natural pose where you can gesture normally. Mostly this has to do with delivery and presentation attributes rather than the structure of your presentation or any visual aids.","This set of clips was now about the audience, and how important the audience is. One or two of the clips cut off before offering anything meaningful or helpful but generally it seemed helpful to impress on the viewer how to think about the audience while structuring your presentation and composing your visual aids, mainly, that it has to engage the audience."
S1,bones of presentation,"speech, information, visuals, understanding","medium, slides, graphs, images, keys, labels","exciting, monotonous, educational,",gestures and hand movements can either add or detract from delivery. Smaller gestures and natural movements preferred as they add emphasis without detracting.,"Don't drown the audience in unnecessary points and data, conveying data via a story can be helpful, but you have to be committed and truthful about story to come off authentic and relatable, simplify slides to the most important points"
S17,"bullet lists, less of text","confident, unrushed","color coded, diagrams, charts","concise, focused","avoid distractive hand gestures, do not avoid eye contact, smile, work on posture, no stress on the knees, move with grace, practice a few times and focus on a couple of improvements like making eye contact etc. each time you practice,","get feedback while practicing, do not over-poulate slides with a lot of data, rehearse out loud, video tape practice sessions, understand who your audience is, convey info using a story that is interesting, relate to the audience,"
S16,"cohesion, linear, concise","direct, passionate, humorous","spreadsheets, graphs, pointer","educational, precise, adaptable","The main point that I was able to derive from these videos is the effective use of gestures, and how they add to one's presentation. I learned the importance of using gestures that adds to my presentation, rather than distract from it. A good practice is to clasp my hands at belt-level and make gestures from there. The gestures would look and feel natural and would help to add emphasis on key ideas of my presentation.",The main concept I was able to derive from the presented videos is the importance of receiving and acknowledging feedback from one's audience when giving a presentation. It is vital to be alert to one's audience and to notice what aspects of a presentation is making an impact on the audience. The feedback one receives from audience can help to guide how best to proceed in a presentation that will resonate best with the audience.
S53,"Course topics, relevant materials","Communication, attraction","presentation, images","slides, images","Smile, HANDGESTURE","Learning Audience , feedback"
S36,"Delivery, Speech, Images","Phrasing, Eloquence, Ideas","Ideas, Pictures, Memes","Slides, Information","Gestures, Hand gestures, smiling","Interacting with the audience, answering questions,"
S34,"discipline, self worth, confidence, mindset","work, destination","picture, visual","character, fortitude,",correlation is causation,self worth
S33,"First of all, I'd like to give you an overview of.... Next, I'll focus on.....and then we'll consider.... Then I'll go on to highlight what I see as the main points of.... Finally, I'd like to address the problem of.....13-Feb-2020
","Make eye contact with your audience instead of reading off your notes the entire time. Avoid distracting behaviours, like chewing gum or fidgeting. Watch for nervous gestures, such as rocking, or tapping. Make sure to dress appropriately for your profession.28-Jul-2023
","state sources where appropriate – for statistics, figures, pictures, etc.
","A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information. The fear should be transformed into positive energy during the presentation.
","DEFINITION: Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.
","DEFINITION: Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.
"
S12,"Flow, Outline, Progression, Framework, Segment","Tone, Pace, Volume, Energy, Articulation, Body Language","Images, Charts, Tables, Graphics, Design, Clarity","Content, Storytelling, Memorability","The keys to being a powerful public speaker lie in your delivery, presentation, and gestures. Having a positive outlook and smiling will help engage the audience and make them feel the same emotions as you speak. Using appropriate hand gestures will add emphasis to your main points. Finally, practicing multiple times before your presentation allows you to feel comfortable and speak more naturally.","The most important ingredient in a successful presentation is resonating with the audience and having a memorable/relatable approach. You can reiterate your points multiple times, and in different ways, to get them to stick with the audience. You can also tell a true, personal story to connect with the audience and help them become engaged with you."
S23,formatting,"flow, presenting","graphs, videos","stats, facts","keep your gestures simple and positive, not distracting","Know your audience, relate, include a story to keep it interesting"
S2,"Framework,Organization,Flow,Subpoints,Body","Tone of voice,Pace
","Slides,PowerPoint, presentation","Clear,Concise,Engaging",deliver the points to the audience,presentation to the audience
S29,"Good morning/afternoon everyone and welcome to my presentation. First of all, let me thank you all for coming here today.","As you can see on the screen, our topic today is......",I’m very pleased to be presenting to you today.,This talk is designed to act as a springboard for discussion.,"*Summarise information.
*Reduce the amount of spoken words, for example, you may show a graph of your results rather than reading them out.","*Make a point memorable.
*Make something easier for the audience to understand."
S30,"Good morning/afternoon everyone and welcome to my presentation. First of all, let me thank you all for coming here today.",Let me start by saying a few words about my own background.,"It’s good to see you all here.
It’s great that you could join me.","Good morning/afternoon everyone and welcome to my presentation. First of all, let me thank you all for coming here today.","Make a point memorable.
Enhance your credibility.","Engage the audience and maintain their interest.
Make something easier for the audience to understand."
S42,I'd like to give you an overview of,"Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss","pictures, charts, and diagrams",concise and should be focused on the topic,the major divisions of the body of a presentation,"projectors, presentation applications, and whiteboards."
S47,I'd like to give you an overview of.,good effort.,"pictures, charts and diagrams, that help people understand and remember.",concise and should be focused on the topic.,good,good
S40,I'd like to give you an overview of.,"Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss","pictures, charts, and diagrams,",concise and should be focused on the topic.,the major divisions of the body of a presentation,"visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation"
S21,"I'd like to give you an overview of.... Next, I'll focus on.....and then we'll consider.... Then I'll go on to highlight what I see as the main points of.... Finally, I'd like to address the problem","Make eye contact with your audience instead of reading off your notes the entire time. Avoid distracting behaviours, like chewing gum or fidgeting. Watch for nervous gestures, such as rocking, or tapping. Make sure to dress appropriately for your profession.","All right, let's jump right in! Let's get started. Let's kick things off. I've divided the presentation into 3 parts: In the first part, ... / Then in the second part, ... / Finally, I'll go on to talk about..",A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information. The fear should be transformed into positive energy during the presentation.,"There are a number of aspects that you need to consider when preparing a presentation. They include the aim of the presentation, the subject matter, the audience, the venue or place, the time of day, and the length of the talk.","Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points."
S13,"intro, body, main points, conclusion, highlights, summary","posture, tone, eye contact, cadence","pictures, videos, graphs, slides","organization, knowledge, effectiveness, clarity, enthusiasm","eye contact, smile, relaxed posture, no fidgeting, no hands in pocket","rehearse, know your audience, practice, get feedback, have a story to tell, be relatable"
S26,Introduce the story in a way that is understanding to the audience. Make the presentation meaningful to the audience. The body should contain the most important points of your presentation and should be delivered to the audience clearly. The end should summarize all of the points that were made in the presentation.,Start with a short story to engage your audience. Don't read your paper word for word. Look up at the audience periodically to ensure that they are engaged with the content of your presentation.,Use a projector if possible - this helps those that are not good at giving oral presentations. The room will be dark and you will be able to relax. Hand out a one-page pamphlet about your subject to engage the audience in your topic. Use PowerPoint to summarize important points of the presentation.,"You should rehearse your presentation beforehand to ensure that it flows well and sounds logical. It should be organized so that it makes sense to the audience. Stick to one topic and don't try to stray off of that topic, if possible.","Smile and Hand Gestures (Should support what you're saying).
Posture - don't put your hands in your pocket - keep them near your body. 
Don't interlock your fingers.","Don't give the audience too much information. Don't drown them in data.
Impact the audience and leave a lasting impression.
Reinforce the data.
Tell a story.
Convey the information effectively - use a story."
S7,Introduction and Conclusion,"Content related to topic, smooth presentation",Specific video content with excellent quality,"Good volume, pitch and effective voice","The overall presentation with excellent speech, visual aids, engaging, effective.","Relevant content, excellent intersection, specific topic"
S8,"Introduction
Agenda
Main Points
Transition
Supporting Details
Visual Aids
Flow and Coherence
Conclusion
Q&A and Discussion
Call to Action","Engagement
Articulation
Tone
Body Language
Confidence
Pace
Projection
Visual Aids Handling
Interaction
Empathy
Authenticity
Pauses
Variation
Charisma
Adaptation
Enthusiasm
Timing","Slides
Charts
Diagrams
Images
Infographics
Maps
Tables
Animations
Icons
Text
Colors
Backgrounds
Fonts
Callouts
Labels
Legends","Clarity
Relevance
Structure
Engagement
Impact
Visual Appeal
Conciseness
Variety
Authenticity
Innovation
Interactivity
Credibility
Accessibility
Adaptability
Memorability",Interconnected and relevant to every aspect of presentation,deliver what expected
S6,"Introduction, Body, Conclusion","Tone, Speed, Volume","Charts, Diagrams, Pictures, Slides, Text","Lengthy, Informative, Factual","Use small gestures, smile, focus on posture, pause after a key idea","Sometimes saying less is more, rehearse enough in front of others to get feedback, give a brief rundown, know your audience when it comes to delivery, good presentations can change what the audience believes"
S18,"Introduction, Body, Main points, Outline, Conclusion, Recap, Subthemes","Pace, Tone, Gestures, Posture, Articulation, Body language, Energy, Nervousness","Thumbnails, Captions, Infographics, Bullet points, Slides, Images, Graphs, Charts, Diagrams","Structure, Preparation, Interactivity, Visual appeal, Conciseness, Engagement, Clarity","Gestures, including hand gestures and smiles, are crucial elements of delivery. They enhance communication by adding visual cues and emotional connection with the audience. It helps with ensuring a logical flow and clarity in conveying the message.","Vary tone, pitch, and pace to keep the audience engaged and convey emotions effectively. Maintain consistent eye contact to establish credibility and engagement. Tailor content to the needs and interests of the specific audience to keep them engaged. By observing audience reactions and engagement level, insights into how well one's message is being received and whether adjustments are needed can be known."
S15,"Introduction, Organization, Summary, Conclusion","Volume, Pronunciation, Rhythm","PowerPoint, Images, Graphics, Google Slides","Clarity, Relevance, Confidence","hand gesture, posture,pause","speak loud, video tape, know your audience, have a story to tell, be relatable"
S38,"Introduction, Overview, Main points, Key ideas, Flow, Outline, Supporting Details, Evidence, Examples, Bullet points, Subheadings, Conclusion, Q&A.","Voice modulation, Articulation, Clarity, Rhythm, Fluency, Eye contact, Facial expressions, Visual aids usage, Slide, Pointer usage, Body movement, Stage control, Practice.","Slides, PowerPoint, Charts, Graphs, Tables, Images, Icons, Color, Fonts, Layout, Animations, Audio, Posters, Whiteboards.","Clear, Informative, Professional, Impactful, Creative, Logical, Confident, Timely.","Smile, Handgesture, Gesture, Posture.","Feedback, Audience."
S51,it is easy to understand the whole project review in abstract model,it is very clear detail explaination to all of our project study member,it is easily understand the project in visual aids of presentin,"abstract, solution, ppt explaination and video technology",delivery structure was very explained,style of visual presentation
S10,"layout, flow, topic, conclusion, intro, main","flow, speed, accuracy, interesting, interactive,","presentation picture, movie, animated, graphic, bold,","flow, topic, content,",Mostly focused on Delivery and using both hand gestures and your physicals body language. Being and looking comfortable will be projected to audience,The main topic was delivery and using both feedback and understanding the audience.
S4,"Logical progression
Main points
Subpoints
Introduction
Body
Conclusion
Opening statement
Closing remarks
Transition
Slide structure
Bullet points
Visual aids
Slide layout
Information architecture
Key takeaways
Section headings
Subsections
Chronological order
Spatial order
Problem-solution structure","Posture
Confidence
Enthusiasm
Pace
Volume
Clarity
Articulation
Intonation
Pause
Emphasis
Modulation
Pronunciation
Audience engagement
Audience interaction
Presence
Charisma
Energy
Dynamic delivery
Audience connection
Stage presence
Delivery style
Persuasion
Conviction
Authenticity
Emotion","PowerPoint
Keynote
Prezi
Charts
Graphs
Diagrams
Infographics
Images
Photographs
Illustrations
Icons
Clipart
Visual data
Tables
Flowcharts
Process diagrams
Bar charts
Pie charts
Line graphs
Scatter plots
Gantt charts
Venn diagrams
Maps
Timelines
SmartArt
Bullet points","Clarity
Conciseness
Coherence
Relevance
Structure
Engagement
Impact
Conviction
Confidence
Authenticity
Credibility
Professionalism
Adaptation
Rehearsal
Flexibility
Creativity
Originality
Memorability
Persuasiveness
Interactivity
Visual appeal
Clear message
Effective delivery
Audience connection
Thoughtful content
Logical flow
Well-preparedness","Based on the information provided, here are the main points and concepts related to DELIVERY, STRUCTURE, VISUAL AIDS, and PRESENTATION ATTRIBUTES:

DELIVERY:
- The video narrative emphasizes the importance of learning presentation skills.
- The video focuses on learning about gestures as a component of delivery.
- Gestures are a key aspect of effective delivery and contribute to engaging the audience.

STRUCTURE:
- While the narrative does not explicitly discuss structural elements, the focus is more on delivery and gestures.

VISUAL AIDS:
- The video narrative does not specifically mention visual aids or their role in presentations.

PRESENTATION ATTRIBUTES:
- The main attribute highlighted here is the effective use of gestures as part of delivery.
- The video segments extracted from popular YouTube videos provide insights into smile, hand gestures, and gestures as a whole.

Main Concepts and Relationships:
- Learning about gestures (such as smile, hand gestures, and gestures in general) is the central focus of the video narrative.
- The relationship between gestures and delivery is highlighted, emphasizing how gestures contribute to effective communication during a presentation.
- The video mentions specific time points and durations for segments related to smile, hand gestures, and gestures in different YouTube videos.
- The narrative suggests that the video segments were automatically extracted and linked based on a theory for concept learning.
- The overall goal is to provide viewers with helpful insights into gestures and their role in improving presentation delivery.

Overall, the narrative seems to primarily emphasize the significance of incorporating appropriate gestures into presentation delivery.","From the provided video narrative, here are the main points, concepts, and relationships related to DELIVERY, STRUCTURE, VISUAL AIDS, and PRESENTATION ATTRIBUTES:

DELIVERY:
- The focus is on learning about the audience as a component of delivery.
- The concept of feedback is highlighted as part of audience engagement and its role in enhancing delivery.
- The video segments emphasize the connection between feedback and effective presentation delivery.

STRUCTURE:
- The narrative does not explicitly address structural elements of presentations; the primary focus is on delivery and audience-related concepts.

VISUAL AIDS:
- The video narrative does not specifically mention visual aids or their role in presentations.

PRESENTATION ATTRIBUTES:
- The main attribute discussed here is the understanding of the audience and their feedback.
- Feedback is highlighted as a crucial component of audience engagement and improving presentation skills.

Main Concepts and Relationships:
- The video narrative revolves around understanding the audience as part of effective delivery.
- The video segments mention feedback and its connection to audience engagement and delivery improvement.
- The narrative features specific time points and durations for segments related to feedback and the audience from different YouTube videos.
- The relationship between feedback, audience engagement, and delivery enhancement is underscored.
- The ultimate goal is to provide viewers with insights into how audience understanding and feedback contribute to better presentation delivery.

Overall, the narrative highlights the importance of considering the audience's perspective and feedback for enhancing presentation delivery."
S32,"main topic, sub topic, priority, bullet points, keywords, visual aids, content, refresh, memory","story telling, humor, engaging audience, tone, variation, simplifying, articulation, projection, emphasis, rapport, connection","simple, complex, bright, eye catching, memorable, recognisable, colorful, evoking emotion, mnemonics","not boring, memorable, conveys idea, original, creative, emphasis on main points","gesture, keep things focused, less distraction, use body language to emphasise concepts","resonance, feedback, brief, main body, reiterate, made to measure"
S37,"Organization, 3 act structure, PowerPoint, planned, rehearsed","Clear, positive, strong voice, interesting, compelling, funny","PowerPoint, pleasing, less words","Overview, pitch, meeting, decision","Using specific body language to avoid negative impressions from folks. Lot of appropriate use of hands. Having a smile, etc. All of these attributes contribute to making the listeners more positive towards the presenter","Being aware of your audience, which influences how you might create your presentation to draw them in. Make sure you have a solid outline of your presentation that's created with purpose, like a story. Give folks an overview, give them the details, and then refresh them. This helps to drive home the main points of the presentation to the audience."
S9,"organization, display, outline","Speaking, clarity","Graphics, artwork","display, graphics, artwork","hand gesturing, smiling , nodding",hand and facial gesturing
S22,"Organized, Rehearsed, Clear beginning, middle and end.","Direct, Clear.","Informative, structured, related, creative","Meaningful, Careful","Smiling when appropriate, avoid using bad hand gestures, nods are good","Cutting unneeded items, be aware of your audience, being convincing/getting your audience to do things you've talked about. All of these things make for a better presentation and allow you to connect with your audience while removing things you don't need."
S28,Organized. Paragraphs. Topics. Headlines. Bullet Points. Summary. Concise,Speaking. Fluent. Smooth. Enthusiastic.,Graphs. PowerPoint. Projector. Charts,Clear. Concise. Understandable. Interesting.,Place your hands in a relaxed position near your belt. Focus on not using distracting hand gestures. Keep your legs slightly bent and stay relaxed. Smile when giving a presentation.,"Stay calm, keep your knees slightly bent, stay relaxed, keep hand gestures to a minimum, keep a smile on your face, and stick to the main points that you need to make in order to be successful at giving a presentation that maintains the interest of the audience."
S27,outline,"voice, inflection","PowerPoint, poster","script, delivery","project positive energy, smile",use gestures to support your message
S39,"Outline, organization, coherence, main points, subpoints, introduction, body, conclusion, flow, sequence, framework, arrangement, format, hierarchy, visuals, slides, transitions, logical progression, storytelling, opening statement,","Speech pace, tone, body language, eye contact, gestures, vocal variety, confidence, enthusiasm, engagement, presence, projection","Slides, PowerPoint, Keynote, graphics, images, charts, graphs, diagrams, infographics, multimedia, videos, animations, illustrations, visual representations","Engaging, informative, persuasive, structured, organized, clear, concise, interactive, memorable, impactful, well-prepared, relevant, coherent, dynamic",Posture and gestures,It's about feedback
S31,"Outline,Framework,Organization,Layout,Flow,Architecture,Roadmap,Logical Progression.",The subject can be looked at under the following headings and We can break this area down into the following fields,"1) I’m very pleased to be here.
2) I’m very pleased to be talking to you today.
3) I’m very pleased to be presenting to you today.
4) I’m glad you could all make it.","My first point concerns
First of all, I’d like to give you an overview of
Next, I’ll focus on.....and then we’ll consider
Then I’ll go on to highlight what I see as the main points of
Finally, I’d like to address the problem of
Finally, I’d like to raise briefly the issue of",DELIVERY,PRESENTATION
S50,"Overview, brief, explanation","clarity, supportive with evidences","clear, avoid ambiguity","voice tone, receivers acceptance","Eye contact, smiling face, don't listen to others behavior, gesture, avoid emotions","Get feedback, understand the audiences, use ideas, visuals, clear story, be relatable"
S24,"Page slides, presenters, topics, sections","time, page slides, speaking","diagrams, charts, photos, display","visuals, topics, data, story",Gestures done during the presentation are important. It is important to smile during a presentation.,It is important to understand if your audience know what your are talking about.
S11,"points, focus, highlight concerns","problems, discussions, subjects, timeline","headings, minutes, handout, significance","statistics, recommendations , opportunities , Q&A session","expressions, formal or informal language, linking expressions. guiding the audience from one point to the next","positive body language, voice and changes in intonation"
S45,"Presentations associate with structure of visual aids, bullet in point, audios and videos.",Presentation can associate with delivery of keep an engaging pace and tone,"Visual aids of presentations can associate with pictures, chart and diagrams that help people to understand and remember information shared",A good presentation should have the potential to convey the required course or information.,"Video segment mention smiles relate to delivery presentations is good presentations, on that video positive energy is creating and we can convey information easily to audience. Posture & gestures are very important while presenting to keep focus on audience.","We have a story to tell to impress audience, we remember stories better. Feedback is best segment to delivery our presentation on better way."
S5,"script, timing","speech, words, posture","clothing, glasses","confidence, charisma","Gestures, influence on audience,","Feedback from colleagues, rehearsing talk, technique"
S3,"segmented, transitional, overall, connected","personable, authoritative, straightforward","simple, easy to understand, highly contrasted","fully covers the topic, addresses the key points, answers the main questions","using gestures as part of your delivery to engage with the audience more and deliver your message more effectively, using positivity during the presentation to connect with the audience","getting feedback from others about your presentation before delivering it, making a lasting impression on the audience, delivering your message and relating to people in the audience"
S52,"The main body of your talk needs to meet the promises you made in the introduction. Depending on the nature of your presentation, clearly segment the different topics you will be discussing, and then work your way through them one at a time - it's important for everything to be organised logically for the audience to fully understand. There are many different ways to organise your main points, such as, by priority, theme, chronologically etc.","Dress appropriately, Arrive early, Meet the moderator, Decide how to handle audience questions, Have a plan if the technology fails.","An easy way to increase audiences’ sensory input is by transitioning from a simple speech into a video or audio clip. Videos allow you to convey information in a fast and rehearsed manner. Professional camera work captures prearranged images, audio and speech. This means video is capable of conveying emotion and information more effectively than speech. 
For this reason, a short video clip may do a better job at summarizing the main points of a presentation than a speech alone.","Honest, Forward-looking, Inspiring, Competent
","Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.","Providing feedback means giving students an explanation of what they are doing correctly AND incorrectly, with the focus of the feedback on what the students is doing right. It is most productive to a student's learning when they are provided with an explanation as to what is accurate and inaccurate about their work."
S19,"They have three main stages: introduction, body and conclusion (i.e. tell them what you are going to say; then say it; then tell them what you have said). When a presentation does not have these clear sections, it can be very difficult for listeners to follow what is being said.
","How can you make a good presentation even more effective?
Focus on your Audience's Needs.
Keep it Simple: Concentrate on your Core Message.
Smile and Make Eye Contact with your Audience","i can use phrases such as 'Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.21-Apr-2023
",A good presentation should be concise and should be focused on the topic. It should not move off-track. A good presentation should have the potential to convey the required information. The fear should be transformed into positive energy during the presentati,"Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.","Visual aids include objects, images, diagrams, data graphs, charts such as pie charts, and moving images such as videos. Common technologies used to share visual aids include projectors, presentation applications, and whiteboards"
S20,"title,introduction, body and conclusion","Let's focus on, 'I want to highlight, 'Pay attention to 'Let's look at , 'I want to briefly address', or 'Now, let's discuss","pictures, charts, and diagrams","descriptions of people, things, or events.",DELIVERY,STRUCTURE
S14,Topic and Conclusion of topic,"Involving, Engage with audience, Deliver seamlessly.","Best quality product, pictures, samples and handouts","Well practiced, ready to deliver, clearly featured, point wise discussion","Excellent topic selection, motivated, approachable solution and Interactive","The summary, narrative, conclusion, related information and excellent delivery skill"
S35,"topic, introduction, conclusion","speech, flow","PowerPoint, slides, whiteboard, projector","speaking, displaying,","When giving a presentation you should be aware of your body. You want to maintain a confident posture, smile at your audience, use gestures to emphasize your points, avoid gestures that distract from what you are saying.","When delivering your presentation, you must know your audience. You should practice your presentation often and get feedback from colleagues about your delivery. You should not overwhelm your audience with data. You should keep them engaged by telling a story."
